"Date_statistics","Municipal_health_service","cases.today","cases.yesterday","diff"
2021-03-29,"GGD Limburg-Noord",367,366,1
2021-03-29,"GGD Rotterdam-Rijnmond",743,741,2
2021-03-29,"GGD Zeeland",176,175,1
2021-03-30,"GGD Brabant-Zuidoost",359,358,1
2021-03-30,"GGD Gooi en Vechtstreek",69,68,1
2021-03-30,"GGD Haaglanden",496,495,1
2021-03-30,"GGD Limburg-Noord",324,323,1
2021-03-30,"GGD Regio Utrecht",481,479,2
2021-03-30,"GGD Rotterdam-Rijnmond",711,710,1
2021-03-30,"GGD Zaanstreek/Waterland",154,152,2
2021-03-30,"GGD Zuid-Limburg",230,229,1
2021-03-31,"Dienst Gezondheid & Jeugd ZHZ",288,287,1
2021-03-31,"GGD Gelderland-Zuid",266,263,3
2021-03-31,"GGD Haaglanden",470,469,1
2021-03-31,"GGD IJsselland",197,195,2
2021-03-31,"GGD Limburg-Noord",340,341,-1
2021-03-31,"GGD Noord- en Oost-Gelderland",340,339,1
2021-03-31,"GGD Regio Utrecht",485,483,2
2021-03-31,"GGD Rotterdam-Rijnmond",683,681,2
2021-04-01,"GGD Amsterdam",341,340,1
2021-04-01,"GGD Haaglanden",507,504,3
2021-04-01,"GGD Hollands-Midden",389,388,1
2021-04-01,"GGD Hollands-Noorden",234,231,3
2021-04-01,"GGD IJsselland",181,180,1
2021-04-01,"GGD Kennemerland",229,228,1
2021-04-01,"GGD Limburg-Noord",341,342,-1
2021-04-01,"GGD Noord- en Oost-Gelderland",336,335,1
2021-04-01,"GGD Regio Twente",174,173,1
2021-04-01,"GGD Regio Utrecht",425,427,-2
2021-04-01,"GGD Rotterdam-Rijnmond",632,629,3
2021-04-01,"GGD Zaanstreek/Waterland",142,140,2
2021-04-02,"GGD Drenthe",129,128,1
2021-04-02,"GGD Gelderland-Zuid",202,200,2
2021-04-02,"GGD Groningen",107,108,-1
2021-04-02,"GGD Haaglanden",447,444,3
2021-04-02,"GGD Hollands-Noorden",239,237,2
2021-04-02,"GGD Kennemerland",204,205,-1
2021-04-02,"GGD Regio Utrecht",457,458,-1
2021-04-02,"GGD Rotterdam-Rijnmond",629,626,3
2021-04-02,"GGD Zuid-Limburg",253,252,1
2021-04-03,"GGD Amsterdam",315,312,3
2021-04-03,"GGD Brabant-Zuidoost",292,290,2
2021-04-03,"GGD Drenthe",129,127,2
2021-04-03,"GGD Gelderland-Zuid",221,220,1
2021-04-03,"GGD Gooi en Vechtstreek",71,72,-1
2021-04-03,"GGD Hollands-Midden",310,309,1
2021-04-03,"GGD IJsselland",156,157,-1
2021-04-03,"GGD Limburg-Noord",272,271,1
2021-04-03,"GGD Regio Utrecht",438,434,4
2021-04-03,"GGD Rotterdam-Rijnmond",681,680,1
2021-04-03,"GGD Zaanstreek/Waterland",139,133,6
2021-04-04,"GGD Brabant-Zuidoost",300,297,3
2021-04-04,"GGD Flevoland",130,126,4
2021-04-04,"GGD Fryslân",176,175,1
2021-04-04,"GGD Gelderland-Zuid",178,176,2
2021-04-04,"GGD Haaglanden",401,400,1
2021-04-04,"GGD Hart voor Brabant",473,471,2
2021-04-04,"GGD Hollands-Midden",348,347,1
2021-04-04,"GGD Hollands-Noorden",202,200,2
2021-04-04,"GGD IJsselland",133,132,1
2021-04-04,"GGD Kennemerland",183,181,2
2021-04-04,"GGD Limburg-Noord",247,246,1
2021-04-04,"GGD Noord- en Oost-Gelderland",285,284,1
2021-04-04,"GGD Regio Twente",157,156,1
2021-04-04,"GGD Regio Utrecht",426,425,1
2021-04-04,"GGD Rotterdam-Rijnmond",609,608,1
2021-04-04,"GGD West-Brabant",220,218,2
2021-04-04,"GGD Zaanstreek/Waterland",144,138,6
2021-04-04,"Veiligheids- en Gezondheidsregio Gelderland-Midden",214,212,2
2021-04-05,"Dienst Gezondheid & Jeugd ZHZ",255,254,1
2021-04-05,"GGD Amsterdam",353,347,6
2021-04-05,"GGD Brabant-Zuidoost",299,293,6
2021-04-05,"GGD Drenthe",114,113,1
2021-04-05,"GGD Flevoland",119,116,3
2021-04-05,"GGD Fryslân",181,179,2
2021-04-05,"GGD Groningen",110,109,1
2021-04-05,"GGD Haaglanden",456,452,4
2021-04-05,"GGD Hart voor Brabant",529,528,1
2021-04-05,"GGD Hollands-Midden",355,353,2
2021-04-05,"GGD Hollands-Noorden",234,231,3
2021-04-05,"GGD IJsselland",154,151,3
2021-04-05,"GGD Kennemerland",180,179,1
2021-04-05,"GGD Limburg-Noord",274,268,6
2021-04-05,"GGD Noord- en Oost-Gelderland",275,273,2
2021-04-05,"GGD Regio Twente",197,195,2
2021-04-05,"GGD Regio Utrecht",459,454,5
2021-04-05,"GGD Rotterdam-Rijnmond",611,601,10
2021-04-05,"GGD Zaanstreek/Waterland",136,131,5
2021-04-05,"GGD Zeeland",135,130,5
2021-04-05,"GGD Zuid-Limburg",252,251,1
2021-04-05,"Veiligheids- en Gezondheidsregio Gelderland-Midden",217,216,1
2021-04-06,"GGD Amsterdam",366,354,12
2021-04-06,"GGD Brabant-Zuidoost",373,370,3
2021-04-06,"GGD Drenthe",170,169,1
2021-04-06,"GGD Flevoland",153,151,2
2021-04-06,"GGD Fryslân",230,229,1
2021-04-06,"GGD Gelderland-Zuid",279,278,1
2021-04-06,"GGD Gooi en Vechtstreek",81,80,1
2021-04-06,"GGD Groningen",132,130,2
2021-04-06,"GGD Haaglanden",510,511,-1
2021-04-06,"GGD Hart voor Brabant",613,609,4
2021-04-06,"GGD Hollands-Midden",406,403,3
2021-04-06,"GGD Hollands-Noorden",271,262,9
2021-04-06,"GGD Kennemerland",217,213,4
2021-04-06,"GGD Limburg-Noord",345,344,1
2021-04-06,"GGD Noord- en Oost-Gelderland",316,311,5
2021-04-06,"GGD Regio Twente",200,199,1
2021-04-06,"GGD Regio Utrecht",526,518,8
2021-04-06,"GGD Rotterdam-Rijnmond",715,707,8
2021-04-06,"GGD West-Brabant",345,342,3
2021-04-06,"GGD Zaanstreek/Waterland",155,147,8
2021-04-06,"GGD Zeeland",166,165,1
2021-04-06,"GGD Zuid-Limburg",259,255,4
2021-04-07,"Dienst Gezondheid & Jeugd ZHZ",315,313,2
2021-04-07,"GGD Amsterdam",368,365,3
2021-04-07,"GGD Brabant-Zuidoost",414,410,4
2021-04-07,"GGD Drenthe",150,145,5
2021-04-07,"GGD Flevoland",152,147,5
2021-04-07,"GGD Fryslân",206,203,3
2021-04-07,"GGD Gelderland-Zuid",255,252,3
2021-04-07,"GGD Groningen",150,149,1
2021-04-07,"GGD Haaglanden",503,501,2
2021-04-07,"GGD Hart voor Brabant",580,576,4
2021-04-07,"GGD Hollands-Midden",384,372,12
2021-04-07,"GGD Hollands-Noorden",263,259,4
2021-04-07,"GGD IJsselland",180,175,5
2021-04-07,"GGD Kennemerland",197,194,3
2021-04-07,"GGD Limburg-Noord",345,339,6
2021-04-07,"GGD Noord- en Oost-Gelderland",360,356,4
2021-04-07,"GGD Regio Twente",218,214,4
2021-04-07,"GGD Regio Utrecht",567,559,8
2021-04-07,"GGD Rotterdam-Rijnmond",752,739,13
2021-04-07,"GGD West-Brabant",319,313,6
2021-04-07,"GGD Zaanstreek/Waterland",147,141,6
2021-04-07,"GGD Zeeland",164,162,2
2021-04-07,"GGD Zuid-Limburg",286,287,-1
2021-04-07,"Veiligheids- en Gezondheidsregio Gelderland-Midden",287,283,4
2021-04-08,"Dienst Gezondheid & Jeugd ZHZ",236,231,5
2021-04-08,"GGD Amsterdam",352,340,12
2021-04-08,"GGD Brabant-Zuidoost",403,390,13
2021-04-08,"GGD Drenthe",137,134,3
2021-04-08,"GGD Flevoland",129,126,3
2021-04-08,"GGD Fryslân",182,178,4
2021-04-08,"GGD Gelderland-Zuid",263,259,4
2021-04-08,"GGD Gooi en Vechtstreek",60,58,2
2021-04-08,"GGD Groningen",133,129,4
2021-04-08,"GGD Haaglanden",482,472,10
2021-04-08,"GGD Hart voor Brabant",541,529,12
2021-04-08,"GGD Hollands-Midden",342,332,10
2021-04-08,"GGD Hollands-Noorden",261,256,5
2021-04-08,"GGD IJsselland",145,143,2
2021-04-08,"GGD Kennemerland",181,177,4
2021-04-08,"GGD Limburg-Noord",333,319,14
2021-04-08,"GGD Noord- en Oost-Gelderland",336,325,11
2021-04-08,"GGD Regio Twente",201,197,4
2021-04-08,"GGD Regio Utrecht",473,436,37
2021-04-08,"GGD Rotterdam-Rijnmond",679,648,31
2021-04-08,"GGD West-Brabant",323,313,10
2021-04-08,"GGD Zaanstreek/Waterland",118,112,6
2021-04-08,"GGD Zeeland",143,139,4
2021-04-08,"GGD Zuid-Limburg",285,280,5
2021-04-08,"Veiligheids- en Gezondheidsregio Gelderland-Midden",229,225,4
2021-04-09,"Dienst Gezondheid & Jeugd ZHZ",235,224,11
2021-04-09,"GGD Amsterdam",303,287,16
2021-04-09,"GGD Brabant-Zuidoost",343,326,17
2021-04-09,"GGD Drenthe",121,116,5
2021-04-09,"GGD Flevoland",151,138,13
2021-04-09,"GGD Fryslân",195,188,7
2021-04-09,"GGD Gelderland-Zuid",254,248,6
2021-04-09,"GGD Gooi en Vechtstreek",74,72,2
2021-04-09,"GGD Groningen",138,130,8
2021-04-09,"GGD Haaglanden",477,450,27
2021-04-09,"GGD Hart voor Brabant",504,485,19
2021-04-09,"GGD Hollands-Midden",351,336,15
2021-04-09,"GGD Hollands-Noorden",251,227,24
2021-04-09,"GGD IJsselland",154,152,2
2021-04-09,"GGD Kennemerland",175,167,8
2021-04-09,"GGD Limburg-Noord",351,336,15
2021-04-09,"GGD Noord- en Oost-Gelderland",278,257,21
2021-04-09,"GGD Regio Twente",181,172,9
2021-04-09,"GGD Regio Utrecht",440,414,26
2021-04-09,"GGD Rotterdam-Rijnmond",581,545,36
2021-04-09,"GGD West-Brabant",327,312,15
2021-04-09,"GGD Zaanstreek/Waterland",136,138,-2
2021-04-09,"GGD Zeeland",134,129,5
2021-04-09,"GGD Zuid-Limburg",283,267,16
2021-04-09,"Veiligheids- en Gezondheidsregio Gelderland-Midden",231,222,9
2021-04-10,"Dienst Gezondheid & Jeugd ZHZ",268,243,25
2021-04-10,"GGD Amsterdam",267,240,27
2021-04-10,"GGD Brabant-Zuidoost",285,256,29
2021-04-10,"GGD Drenthe",151,144,7
2021-04-10,"GGD Flevoland",127,110,17
2021-04-10,"GGD Fryslân",163,159,4
2021-04-10,"GGD Gelderland-Zuid",222,205,17
2021-04-10,"GGD Gooi en Vechtstreek",88,86,2
2021-04-10,"GGD Groningen",116,104,12
2021-04-10,"GGD Haaglanden",440,403,37
2021-04-10,"GGD Hart voor Brabant",522,478,44
2021-04-10,"GGD Hollands-Midden",343,321,22
2021-04-10,"GGD Hollands-Noorden",257,229,28
2021-04-10,"GGD IJsselland",159,154,5
2021-04-10,"GGD Kennemerland",191,178,13
2021-04-10,"GGD Limburg-Noord",290,257,33
2021-04-10,"GGD Noord- en Oost-Gelderland",297,272,25
2021-04-10,"GGD Regio Twente",183,166,17
2021-04-10,"GGD Regio Utrecht",392,378,14
2021-04-10,"GGD Rotterdam-Rijnmond",538,479,59
2021-04-10,"GGD West-Brabant",255,237,18
2021-04-10,"GGD Zaanstreek/Waterland",107,106,1
2021-04-10,"GGD Zeeland",148,135,13
2021-04-10,"GGD Zuid-Limburg",249,227,22
2021-04-10,"Veiligheids- en Gezondheidsregio Gelderland-Midden",246,235,11
2021-04-11,"Dienst Gezondheid & Jeugd ZHZ",215,188,27
2021-04-11,"GGD Amsterdam",216,175,41
2021-04-11,"GGD Brabant-Zuidoost",269,222,47
2021-04-11,"GGD Drenthe",112,96,16
2021-04-11,"GGD Flevoland",103,83,20
2021-04-11,"GGD Fryslân",168,151,17
2021-04-11,"GGD Gelderland-Zuid",204,186,18
2021-04-11,"GGD Gooi en Vechtstreek",69,66,3
2021-04-11,"GGD Groningen",106,87,19
2021-04-11,"GGD Haaglanden",385,345,40
2021-04-11,"GGD Hart voor Brabant",460,412,48
2021-04-11,"GGD Hollands-Midden",294,253,41
2021-04-11,"GGD Hollands-Noorden",172,129,43
2021-04-11,"GGD IJsselland",111,101,10
2021-04-11,"GGD Kennemerland",161,134,27
2021-04-11,"GGD Limburg-Noord",223,178,45
2021-04-11,"GGD Noord- en Oost-Gelderland",263,215,48
2021-04-11,"GGD Regio Twente",158,141,17
2021-04-11,"GGD Regio Utrecht",352,304,48
2021-04-11,"GGD Rotterdam-Rijnmond",498,407,91
2021-04-11,"GGD West-Brabant",256,219,37
2021-04-11,"GGD Zaanstreek/Waterland",125,128,-3
2021-04-11,"GGD Zeeland",123,105,18
2021-04-11,"GGD Zuid-Limburg",228,195,33
2021-04-11,"Veiligheids- en Gezondheidsregio Gelderland-Midden",167,145,22
2021-04-12,"Dienst Gezondheid & Jeugd ZHZ",238,215,23
2021-04-12,"GGD Amsterdam",238,194,44
2021-04-12,"GGD Brabant-Zuidoost",240,183,57
2021-04-12,"GGD Drenthe",105,89,16
2021-04-12,"GGD Flevoland",114,88,26
2021-04-12,"GGD Fryslân",168,129,39
2021-04-12,"GGD Gelderland-Zuid",191,150,41
2021-04-12,"GGD Gooi en Vechtstreek",62,50,12
2021-04-12,"GGD Groningen",82,57,25
2021-04-12,"GGD Haaglanden",362,269,93
2021-04-12,"GGD Hart voor Brabant",420,343,77
2021-04-12,"GGD Hollands-Midden",295,213,82
2021-04-12,"GGD Hollands-Noorden",175,112,63
2021-04-12,"GGD IJsselland",126,103,23
2021-04-12,"GGD Kennemerland",149,95,54
2021-04-12,"GGD Limburg-Noord",215,135,80
2021-04-12,"GGD Noord- en Oost-Gelderland",230,141,89
2021-04-12,"GGD Regio Twente",152,96,56
2021-04-12,"GGD Regio Utrecht",325,245,80
2021-04-12,"GGD Rotterdam-Rijnmond",447,368,79
2021-04-12,"GGD West-Brabant",251,186,65
2021-04-12,"GGD Zaanstreek/Waterland",95,72,23
2021-04-12,"GGD Zeeland",117,82,35
2021-04-12,"GGD Zuid-Limburg",178,123,55
2021-04-12,"Veiligheids- en Gezondheidsregio Gelderland-Midden",179,144,35
2021-04-13,"Dienst Gezondheid & Jeugd ZHZ",176,189,-13
2021-04-13,"GGD Amsterdam",221,198,23
2021-04-13,"GGD Brabant-Zuidoost",194,108,86
2021-04-13,"GGD Drenthe",78,53,25
2021-04-13,"GGD Flevoland",75,77,-2
2021-04-13,"GGD Fryslân",130,96,34
2021-04-13,"GGD Gelderland-Zuid",168,98,70
2021-04-13,"GGD Gooi en Vechtstreek",55,41,14
2021-04-13,"GGD Groningen",50,42,8
2021-04-13,"GGD Haaglanden",343,255,88
2021-04-13,"GGD Hart voor Brabant",346,270,76
2021-04-13,"GGD Hollands-Midden",256,142,114
2021-04-13,"GGD Hollands-Noorden",115,41,74
2021-04-13,"GGD IJsselland",138,112,26
2021-04-13,"GGD Kennemerland",127,97,30
2021-04-13,"GGD Limburg-Noord",152,124,28
2021-04-13,"GGD Noord- en Oost-Gelderland",122,123,-1
2021-04-13,"GGD Regio Twente",125,106,19
2021-04-13,"GGD Regio Utrecht",340,271,69
2021-04-13,"GGD Rotterdam-Rijnmond",403,412,-9
2021-04-13,"GGD West-Brabant",200,107,93
2021-04-13,"GGD Zaanstreek/Waterland",78,61,17
2021-04-13,"GGD Zeeland",60,38,22
2021-04-13,"GGD Zuid-Limburg",148,131,17
2021-04-13,"Veiligheids- en Gezondheidsregio Gelderland-Midden",144,106,38
2021-04-14,"Dienst Gezondheid & Jeugd ZHZ",304,269,35
2021-04-14,"GGD Amsterdam",156,125,31
2021-04-14,"GGD Brabant-Zuidoost",268,298,-30
2021-04-14,"GGD Drenthe",60,26,34
2021-04-14,"GGD Flevoland",45,17,28
2021-04-14,"GGD Fryslân",75,54,21
2021-04-14,"GGD Gelderland-Zuid",98,91,7
2021-04-14,"GGD Gooi en Vechtstreek",43,30,13
2021-04-14,"GGD Groningen",132,168,-36
2021-04-14,"GGD Haaglanden",207,138,69
2021-04-14,"GGD Hart voor Brabant",323,245,78
2021-04-14,"GGD Hollands-Midden",151,173,-22
2021-04-14,"GGD Hollands-Noorden",71,43,28
2021-04-14,"GGD IJsselland",123,140,-17
2021-04-14,"GGD Kennemerland",109,184,-75
2021-04-14,"GGD Limburg-Noord",110,14,96
2021-04-14,"GGD Noord- en Oost-Gelderland",230,375,-145
2021-04-14,"GGD Regio Twente",107,122,-15
2021-04-14,"GGD Regio Utrecht",437,351,86
2021-04-14,"GGD Rotterdam-Rijnmond",500,183,317
2021-04-14,"GGD West-Brabant",114,44,70
2021-04-14,"GGD Zaanstreek/Waterland",100,103,-3
2021-04-14,"GGD Zeeland",84,48,36
2021-04-14,"GGD Zuid-Limburg",127,110,17
2021-04-14,"Veiligheids- en Gezondheidsregio Gelderland-Midden",146,126,20
2021-04-15,"Dienst Gezondheid & Jeugd ZHZ",184,37,147
2021-04-15,"GGD Amsterdam",262,21,241
2021-04-15,"GGD Brabant-Zuidoost",293,18,275
2021-04-15,"GGD Flevoland",26,1,25
2021-04-15,"GGD Gelderland-Zuid",118,103,15
2021-04-15,"GGD Gooi en Vechtstreek",34,1,33
2021-04-15,"GGD Groningen",89,12,77
2021-04-15,"GGD Haaglanden",254,40,214
2021-04-15,"GGD Hart voor Brabant",454,58,396
2021-04-15,"GGD Hollands-Midden",211,94,117
2021-04-15,"GGD IJsselland",129,31,98
2021-04-15,"GGD Kennemerland",174,26,148
2021-04-15,"GGD Noord- en Oost-Gelderland",226,37,189
2021-04-15,"GGD Regio Twente",254,8,246
2021-04-15,"GGD Regio Utrecht",272,42,230
2021-04-15,"GGD Rotterdam-Rijnmond",395,3,392
2021-04-15,"GGD Zaanstreek/Waterland",133,35,98
2021-04-15,"GGD Zeeland",15,1,14
2021-04-15,"Veiligheids- en Gezondheidsregio Gelderland-Midden",155,30,125
