"Date_statistics","2021-06-17","2021-06-18","diff21"
2021-01-04,107,107,0
2021-01-05,77,77,0
2021-01-06,68,68,0
2021-01-07,70,70,0
2021-01-08,75,75,0
2021-01-09,62,62,0
2021-01-10,63,63,0
2021-01-11,80,80,0
2021-01-12,79,79,0
2021-01-13,78,78,0
2021-01-14,63,63,0
2021-01-15,79,79,0
2021-01-16,61,61,0
2021-01-17,60,60,0
2021-01-18,76,76,0
2021-01-19,65,65,0
2021-01-20,73,73,0
2021-01-21,67,67,0
2021-01-22,69,69,0
2021-01-23,58,58,0
2021-01-24,40,40,0
2021-01-25,80,80,0
2021-01-26,58,58,0
2021-01-27,52,52,0
2021-01-28,53,53,0
2021-01-29,66,66,0
2021-01-30,58,58,0
2021-01-31,50,50,0
2021-02-01,69,69,0
2021-02-02,65,65,0
2021-02-03,62,62,0
2021-02-04,51,51,0
2021-02-05,69,69,0
2021-02-06,54,54,0
2021-02-07,57,57,0
2021-02-08,82,82,0
2021-02-09,70,70,0
2021-02-10,51,52,1
2021-02-11,57,57,0
2021-02-12,68,68,0
2021-02-13,62,62,0
2021-02-14,50,50,0
2021-02-15,68,68,0
2021-02-16,60,60,0
2021-02-17,70,70,0
2021-02-18,67,67,0
2021-02-19,64,64,0
2021-02-20,73,73,0
2021-02-21,65,65,0
2021-02-22,65,65,0
2021-02-23,71,71,0
2021-02-24,71,71,0
2021-02-25,63,63,0
2021-02-26,56,56,0
2021-02-27,68,68,0
2021-02-28,65,65,0
2021-03-01,80,80,0
2021-03-02,52,52,0
2021-03-03,63,63,0
2021-03-04,52,52,0
2021-03-05,64,64,0
2021-03-06,56,56,0
2021-03-07,64,64,0
2021-03-08,81,81,0
2021-03-09,59,59,0
2021-03-10,76,76,0
2021-03-11,75,75,0
2021-03-12,84,84,0
2021-03-13,59,59,0
2021-03-14,66,66,0
2021-03-15,72,72,0
2021-03-16,75,75,0
2021-03-17,82,82,0
2021-03-18,56,56,0
2021-03-19,65,65,0
2021-03-20,82,82,0
2021-03-21,80,80,0
2021-03-22,91,91,0
2021-03-23,76,76,0
2021-03-24,68,68,0
2021-03-25,64,64,0
2021-03-26,86,86,0
2021-03-27,62,62,0
2021-03-28,64,64,0
2021-03-29,100,101,1
2021-03-30,58,58,0
2021-03-31,83,83,0
2021-04-01,72,72,0
2021-04-02,68,68,0
2021-04-03,69,69,0
2021-04-04,68,68,0
2021-04-05,79,79,0
2021-04-06,85,85,0
2021-04-07,78,78,0
2021-04-08,72,72,0
2021-04-09,80,80,0
2021-04-10,87,87,0
2021-04-11,59,59,0
2021-04-12,80,80,0
2021-04-13,64,64,0
2021-04-14,80,80,0
2021-04-15,78,78,0
2021-04-16,92,92,0
2021-04-17,75,75,0
2021-04-18,80,80,0
2021-04-19,91,91,0
2021-04-20,69,69,0
2021-04-21,68,68,0
2021-04-22,80,80,0
2021-04-23,58,58,0
2021-04-24,60,60,0
2021-04-25,58,59,1
2021-04-26,81,81,0
2021-04-27,66,66,0
2021-04-28,74,74,0
2021-04-29,67,67,0
2021-04-30,58,59,1
2021-05-01,49,49,0
2021-05-02,55,55,0
2021-05-03,67,67,0
2021-05-04,53,53,0
2021-05-05,62,62,0
2021-05-06,53,53,0
2021-05-07,69,69,0
2021-05-08,45,45,0
2021-05-09,41,41,0
2021-05-10,69,69,0
2021-05-11,44,44,0
2021-05-12,54,54,0
2021-05-13,44,44,0
2021-05-14,33,33,0
2021-05-15,40,40,0
2021-05-16,32,32,0
2021-05-17,39,39,0
2021-05-18,34,34,0
2021-05-19,29,29,0
2021-05-20,41,41,0
2021-05-21,28,28,0
2021-05-22,21,21,0
2021-05-23,20,20,0
2021-05-24,26,27,1
2021-05-25,20,21,1
2021-05-26,23,23,0
2021-05-27,23,23,0
2021-05-28,13,14,1
2021-05-29,15,15,0
2021-05-30,11,13,2
2021-05-31,19,20,1
2021-06-01,16,16,0
2021-06-02,16,16,0
2021-06-03,12,14,2
2021-06-04,15,15,0
2021-06-05,9,9,0
2021-06-06,5,5,0
2021-06-07,4,6,2
2021-06-08,2,2,0
2021-06-09,5,6,1
2021-06-10,2,3,1
2021-06-11,3,3,0
2021-06-12,4,4,0
2021-06-13,2,2,0
2021-06-14,1,3,2
2021-06-15,1,1,0
2021-06-16,NA,1,NA
