"Date_statistics","2021-06-01","2021-06-02","diff21"
2020-05-30,166,167,1
2020-05-31,123,123,0
2020-06-01,165,165,0
2020-06-02,139,139,0
2020-06-03,148,148,0
2020-06-04,154,154,0
2020-06-05,168,168,0
2020-06-06,160,160,0
2020-06-07,102,102,0
2020-06-08,145,145,0
2020-06-09,135,135,0
2020-06-10,159,159,0
2020-06-11,135,135,0
2020-06-12,138,138,0
2020-06-13,111,111,0
2020-06-14,106,106,0
2020-06-15,117,117,0
2020-06-16,82,82,0
2020-06-17,91,91,0
2020-06-18,68,68,0
2020-06-19,74,74,0
2020-06-20,77,77,0
2020-06-21,56,56,0
2020-06-22,80,80,0
2020-06-23,70,70,0
2020-06-24,92,92,0
2020-06-25,73,73,0
2020-06-26,62,62,0
2020-06-27,77,77,0
2020-06-28,57,57,0
2020-06-29,75,75,0
2020-06-30,61,61,0
2020-07-01,74,74,0
2020-07-02,63,63,0
2020-07-03,52,52,0
2020-07-04,51,51,0
2020-07-05,52,52,0
2020-07-06,95,95,0
2020-07-07,82,82,0
2020-07-08,101,101,0
2020-07-09,98,98,0
2020-07-10,116,116,0
2020-07-11,128,128,0
2020-07-12,118,118,0
2020-07-13,173,173,0
2020-07-14,170,170,0
2020-07-15,211,211,0
2020-07-16,144,144,0
2020-07-17,189,189,0
2020-07-18,170,170,0
2020-07-19,185,185,0
2020-07-20,243,243,0
2020-07-21,228,228,0
2020-07-22,287,287,0
2020-07-23,215,215,0
2020-07-24,237,237,0
2020-07-25,321,321,0
2020-07-26,291,291,0
2020-07-27,455,455,0
2020-07-28,394,394,0
2020-07-29,447,447,0
2020-07-30,417,417,0
2020-07-31,476,476,0
2020-08-01,492,492,0
2020-08-02,504,504,0
2020-08-03,667,667,0
2020-08-04,592,592,0
2020-08-05,619,619,0
2020-08-06,581,581,0
2020-08-07,616,616,0
2020-08-08,527,527,0
2020-08-09,519,519,0
2020-08-10,611,611,0
2020-08-11,564,564,0
2020-08-12,599,599,0
2020-08-13,549,549,0
2020-08-14,530,530,0
2020-08-15,507,507,0
2020-08-16,438,438,0
2020-08-17,506,506,0
2020-08-18,498,498,0
2020-08-19,504,504,0
2020-08-20,475,475,0
2020-08-21,465,465,0
2020-08-22,540,540,0
2020-08-23,506,506,0
2020-08-24,575,575,0
2020-08-25,600,600,0
2020-08-26,618,618,0
2020-08-27,561,561,0
2020-08-28,595,595,0
2020-08-29,588,588,0
2020-08-30,594,594,0
2020-08-31,919,919,0
2020-09-01,999,999,0
2020-09-02,960,960,0
2020-09-03,975,975,0
2020-09-04,1151,1151,0
2020-09-05,1229,1229,0
2020-09-06,1253,1253,0
2020-09-07,1567,1567,0
2020-09-08,1659,1659,0
2020-09-09,1648,1648,0
2020-09-10,1576,1576,0
2020-09-11,1792,1792,0
2020-09-12,1729,1729,0
2020-09-13,1810,1810,0
2020-09-14,2500,2500,0
2020-09-15,2427,2427,0
2020-09-16,2516,2516,0
2020-09-17,2518,2518,0
2020-09-18,2440,2440,0
2020-09-19,2488,2488,0
2020-09-20,2690,2690,0
2020-09-21,3406,3406,0
2020-09-22,3177,3177,0
2020-09-23,3213,3213,0
2020-09-24,3061,3061,0
2020-09-25,3354,3354,0
2020-09-26,3248,3248,0
2020-09-27,3436,3436,0
2020-09-28,4842,4842,0
2020-09-29,4636,4636,0
2020-09-30,4930,4930,0
2020-10-01,5311,5311,0
2020-10-02,5731,5731,0
2020-10-03,5710,5710,0
2020-10-04,5432,5432,0
2020-10-05,7123,7123,0
2020-10-06,6621,6621,0
2020-10-07,6887,6887,0
2020-10-08,6802,6802,0
2020-10-09,7311,7311,0
2020-10-10,7538,7538,0
2020-10-11,6898,6898,0
2020-10-12,8946,8946,0
2020-10-13,8505,8505,0
2020-10-14,8911,8911,0
2020-10-15,8225,8225,0
2020-10-16,8718,8718,0
2020-10-17,8730,8730,0
2020-10-18,8072,8072,0
2020-10-19,9946,9946,0
2020-10-20,9793,9793,0
2020-10-21,9474,9474,0
2020-10-22,8879,8879,0
2020-10-23,9268,9268,0
2020-10-24,8733,8733,0
2020-10-25,8034,8034,0
2020-10-26,9105,9105,0
2020-10-27,8029,8029,0
2020-10-28,7645,7645,0
2020-10-29,6993,6993,0
2020-10-30,6775,6775,0
2020-10-31,6372,6372,0
2020-11-01,6145,6145,0
2020-11-02,6356,6356,0
2020-11-03,5914,5914,0
2020-11-04,5740,5740,0
2020-11-05,5158,5158,0
2020-11-06,5278,5278,0
2020-11-07,4986,4986,0
2020-11-08,4781,4781,0
2020-11-09,5779,5779,0
2020-11-10,5367,5367,0
2020-11-11,5661,5661,0
2020-11-12,5092,5092,0
2020-11-13,5133,5133,0
2020-11-14,5107,5107,0
2020-11-15,4885,4885,0
2020-11-16,5848,5848,0
2020-11-17,5479,5479,0
2020-11-18,5260,5260,0
2020-11-19,4788,4788,0
2020-11-20,4854,4854,0
2020-11-21,4642,4642,0
2020-11-22,4241,4241,0
2020-11-23,5376,5376,0
2020-11-24,4892,4892,0
2020-11-25,4846,4846,0
2020-11-26,4606,4606,0
2020-11-27,4908,4908,0
2020-11-28,4900,4899,-1
2020-11-29,4729,4729,0
2020-11-30,6351,6351,0
2020-12-01,6540,6540,0
2020-12-02,6699,6699,0
2020-12-03,6653,6653,0
2020-12-04,7140,7140,0
2020-12-05,7321,7321,0
2020-12-06,7407,7407,0
2020-12-07,9100,9100,0
2020-12-08,9625,9625,0
2020-12-09,9564,9564,0
2020-12-10,9280,9280,0
2020-12-11,9936,9936,0
2020-12-12,9990,9990,0
2020-12-13,9879,9879,0
2020-12-14,12430,12430,0
2020-12-15,12197,12197,0
2020-12-16,11714,11714,0
2020-12-17,10927,10927,0
2020-12-18,10938,10938,0
2020-12-19,10495,10495,0
2020-12-20,9605,9605,0
2020-12-21,10887,10887,0
2020-12-22,10145,10145,0
2020-12-23,9078,9078,0
2020-12-24,8665,8665,0
2020-12-25,7695,7695,0
2020-12-26,7415,7415,0
2020-12-27,7953,7953,0
2020-12-28,9071,9071,0
2020-12-29,8303,8303,0
2020-12-30,7306,7306,0
2020-12-31,7017,7017,0
2021-01-01,6770,6770,0
2021-01-02,6987,6987,0
2021-01-03,7547,7547,0
2021-01-04,8351,8351,0
2021-01-05,7105,7105,0
2021-01-06,6769,6769,0
2021-01-07,6085,6085,0
2021-01-08,5778,5778,0
2021-01-09,5432,5432,0
2021-01-10,5162,5162,0
2021-01-11,6037,6037,0
2021-01-12,6008,6009,1
2021-01-13,5712,5712,0
2021-01-14,5075,5075,0
2021-01-15,5352,5352,0
2021-01-16,4883,4883,0
2021-01-17,4671,4672,1
2021-01-18,5570,5569,-1
2021-01-19,5312,5312,0
2021-01-20,5324,5324,0
2021-01-21,4602,4602,0
2021-01-22,4556,4556,0
2021-01-23,4241,4241,0
2021-01-24,3844,3844,0
2021-01-25,4484,4484,0
2021-01-26,4167,4167,0
2021-01-27,4291,4291,0
2021-01-28,3843,3843,0
2021-01-29,3833,3833,0
2021-01-30,3553,3553,0
2021-01-31,3393,3393,0
2021-02-01,4059,4059,0
2021-02-02,3849,3849,0
2021-02-03,3858,3858,0
2021-02-04,3594,3594,0
2021-02-05,3602,3602,0
2021-02-06,3304,3304,0
2021-02-07,2983,2983,0
2021-02-08,3484,3484,0
2021-02-09,3848,3848,0
2021-02-10,3627,3627,0
2021-02-11,3492,3492,0
2021-02-12,3454,3454,0
2021-02-13,3361,3361,0
2021-02-14,3490,3490,0
2021-02-15,4068,4068,0
2021-02-16,4395,4395,0
2021-02-17,4584,4584,0
2021-02-18,4443,4443,0
2021-02-19,4331,4331,0
2021-02-20,4318,4318,0
2021-02-21,4177,4177,0
2021-02-22,4879,4879,0
2021-02-23,4697,4697,0
2021-02-24,4665,4665,0
2021-02-25,4192,4192,0
2021-02-26,4261,4261,0
2021-02-27,4250,4250,0
2021-02-28,4061,4061,0
2021-03-01,4896,4896,0
2021-03-02,4672,4672,0
2021-03-03,4745,4745,0
2021-03-04,4318,4318,0
2021-03-05,4813,4813,0
2021-03-06,4793,4793,0
2021-03-07,4753,4753,0
2021-03-08,5694,5694,0
2021-03-09,5794,5794,0
2021-03-10,6087,6087,0
2021-03-11,5818,5818,0
2021-03-12,6048,6048,0
2021-03-13,6066,6066,0
2021-03-14,5599,5599,0
2021-03-15,6680,6680,0
2021-03-16,6836,6836,0
2021-03-17,7086,7086,0
2021-03-18,6661,6661,0
2021-03-19,6719,6719,0
2021-03-20,6847,6847,0
2021-03-21,6650,6650,0
2021-03-22,7593,7593,0
2021-03-23,7701,7701,0
2021-03-24,7810,7810,0
2021-03-25,7274,7274,0
2021-03-26,7355,7355,0
2021-03-27,6927,6927,0
2021-03-28,6314,6314,0
2021-03-29,7314,7314,0
2021-03-30,7168,7168,0
2021-03-31,7366,7366,0
2021-04-01,6715,6716,1
2021-04-02,6622,6622,0
2021-04-03,6476,6475,-1
2021-04-04,6108,6108,0
2021-04-05,6653,6653,0
2021-04-06,7752,7752,0
2021-04-07,7873,7873,0
2021-04-08,7360,7360,0
2021-04-09,7330,7330,0
2021-04-10,7203,7203,0
2021-04-11,6725,6725,0
2021-04-12,7833,7833,0
2021-04-13,7888,7888,0
2021-04-14,8120,8120,0
2021-04-15,7808,7808,0
2021-04-16,7871,7871,0
2021-04-17,7824,7824,0
2021-04-18,7493,7493,0
2021-04-19,8810,8811,1
2021-04-20,8429,8429,0
2021-04-21,8378,8378,0
2021-04-22,7673,7673,0
2021-04-23,7295,7295,0
2021-04-24,6923,6923,0
2021-04-25,6458,6457,-1
2021-04-26,7379,7381,2
2021-04-27,7080,7083,3
2021-04-28,8007,8010,3
2021-04-29,7487,7486,-1
2021-04-30,7423,7428,5
2021-05-01,6802,6809,7
2021-05-02,6515,6520,5
2021-05-03,7249,7256,7
2021-05-04,7079,7065,-14
2021-05-05,6876,6871,-5
2021-05-06,6129,6125,-4
2021-05-07,6209,6210,1
2021-05-08,5684,5683,-1
2021-05-09,5133,5136,3
2021-05-10,5945,5947,2
2021-05-11,5507,5507,0
2021-05-12,5137,5138,1
2021-05-13,4334,4335,1
2021-05-14,4202,4207,5
2021-05-15,4094,4094,0
2021-05-16,3992,3995,3
2021-05-17,4244,4243,-1
2021-05-18,4054,4056,2
2021-05-19,3687,3690,3
2021-05-20,3248,3262,14
2021-05-21,3169,3177,8
2021-05-22,2838,2853,15
2021-05-23,2544,2565,21
2021-05-24,2765,2809,44
2021-05-25,3116,3176,60
2021-05-26,2945,3031,86
2021-05-27,2549,2657,108
2021-05-28,1990,2183,193
2021-05-29,1408,1758,350
2021-05-30,999,1411,412
2021-05-31,1427,1193,-234
2021-06-01,292,1471,1179
2021-06-02,NA,217,NA
